Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099450,469033600
1980-12-15,0.122210,0.122210,0.121652,0.121652,0.094261,175884800
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087343,105728000
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089504,86441600
1980-12-18,0.118862,0.119420,0.118862,0.118862,0.092099,73449600
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097720,48630400
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102476,37363200
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.106800,46950400
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.112421,48003200
1980-12-26,0.158482,0.159040,0.158482,0.158482,0.122799,55574400
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124528,93161600
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121502,68880000
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.118043,35750400
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119340,21660800
1981-01-05,0.151228,0.151228,0.150670,0.150670,0.116746,35728000
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.111556,45158400
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.106800,55686400
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.104639,39827200
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.110259,21504000
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109395,23699200
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105503,23049600
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.105936,14291200
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.108098,14067200
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.107233,13395200
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.113718,41574400
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.110259,30083200
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.112421,15904000
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.113718,35548800
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.113286,11222400
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.111556,24640000
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.110692,23699200
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.107233,28156800
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103342,43904000
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.097720,46188800
1981-02-02,0.119420,0.119420,0.118862,0.118862,0.092099,23766400
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095558,19152000
1981-02-04,0.127790,0.128348,0.127790,0.127790,0.099017,27865600
1981-02-05,0.127790,0.128906,0.127790,0.127790,0.099017,7929600
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099450,13865600
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094261,16755200
1981-02-10,0.121652,0.122210,0.121652,0.121652,0.094261,18345600
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.091235,13843200
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.090369,14560000
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.088207,11155200
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.090369,12275200
